method,iter,cost,energy,time_cost,corridor_cost,total_time,grad_norm
MINCO,27,173.04761929327574,27.139988008730388,143.65613623850356,2.2514950460417698,5.746245449540142,33.92589304102902
MINCO,28,172.77439923113974,27.552065615611916,142.96290840776882,2.2594252077589898,5.7185163363107527,27.935017627289721
MINCO,29,172.53747563622804,28.000023473496469,142.2605369809059,2.2769151818256659,5.6904214792362353,26.16497660019121
MINCO,30,172.47719157333859,28.131608988226819,142.52097326163548,1.8246093234763014,5.7008389304654186,39.764688491564065
MINCO,31,172.40708010239692,28.070260442424654,142.43983814464468,1.8969815153275931,5.6975935257857877,20.547605031055657
MINCO,32,172.37912275658735,28.053688975141828,142.423255924595,1.9021778568505276,5.6969302369837997,12.521387648939156
MINCO,33,172.32955110214291,28.140264890009263,142.34549718840955,1.8437890237241104,5.6938198875363826,14.156677166802782
MINCO,34,172.26355670324668,28.373011930027204,142.13910758318656,1.7514371900329258,5.6855643033274621,22.111334882590917
MINCO,35,172.20670947407754,28.783538128435392,141.69894712015721,1.72422422548494,5.6679578848062881,33.703898793100365
MINCO,36,172.14681038406479,29.071401483273881,141.3758617336002,1.6995471671907081,5.6550344693440087,16.271637830352585
MINCO,37,172.11547834024452,29.133630741543673,141.22627534449742,1.7555722542034193,5.6490510137798964,11.157176134564876
MINCO,38,172.08057621562671,29.239878197111658,141.00890807108405,1.8317899474309898,5.6403563228433615,10.010093363112006
MINCO,39,172.0669190228881,29.305356710583212,140.89993816235435,1.8616241499505457,5.6359975264941742,21.990819148227001
MINCO,40,172.04642899625162,29.324951066286769,140.83004498231716,1.8914329476477105,5.6332017992926868,12.371204091175105
MINCO,41,172.02559247348151,29.335752838279792,140.78997793854867,1.8998616966530419,5.6315991175419473,10.214124392106234
MINCO,42,172.00166916392985,29.32620093717663,140.77834017364154,1.8971280531116885,5.6311336069456619,15.344579102986074
MINCO,43,171.95676659608375,29.286579893293098,140.7831686160292,1.8870180867614526,5.6313267446411679,21.813109449231721
MINCO,44,171.94099158192174,29.222629613752716,140.747414154409,1.9709478137600378,5.6298965661763605,46.014283218811698
MINCO,45,171.86949103882731,29.164029355925354,140.76949336439029,1.9359683185116585,5.6307797345756114,18.388931916329838
MINCO,46,171.83638957737105,29.12151206006526,140.77139442583004,1.9434830914757297,5.6308557770332017,13.78393208763749
MINCO,47,171.79372303821953,29.050794614985719,140.76155241123422,1.9813760119995942,5.630462096449369,19.049300097076351
MINCO,48,171.7474344384417,28.96531216102824,140.67637713985647,2.1057451375569833,5.6270550855942583,47.174991836907132
MINCO,49,171.68110672499699,28.872650399394555,140.63835935797172,2.1700969676307,5.6255343743188684,31.670699657420514
MINCO,50,171.57191147673427,28.72170129030696,140.52723967710648,2.3229705093208279,5.621089587084259,22.617253030000739
MINCO,51,171.49495433170605,28.644893154796776,140.43517224688961,2.4148889300196665,5.6174068898755847,28.576906272085555
MINCO,52,171.32485959978112,28.56588399661894,140.2862143073794,2.4727612957827945,5.6114485722951759,34.131983261389237
MINCO,53,171.15725740260388,28.761330541745377,140.07598976824843,2.3199370926100689,5.6030395907299377,65.281982236464572
MINCO,54,170.85613206685065,28.62643162623311,140.04826354541837,2.1814368951991718,5.6019305418167349,37.519376496684139
MINCO,55,170.69301357169465,28.661179238970234,140.08269788317335,1.9491364495510468,5.6033079153269343,28.846655897969335
