s,M,total_time,t,nubs_x,nubs_y,nubs_z,minco_x,minco_y,minco_z,err_d0,err_d1,err_d2,err_d3,err_d4
4,8,8.6099999999999994,4.2639999999999993,2.0482377455131795,1.4217881987373129,1.528580589495568,2.0482377455131835,1.4217881987373144,1.52858058949557,4.7311656265286475e-15,6.2945559432059585e-15,2.8762732192738639e-14,3.8977525522312422e-14,4.0450097937402304e-13
4,8,8.6099999999999994,4.2844999999999995,2.0525156632553285,1.4230766058296556,1.5398321162780659,2.0525156632553321,1.4230766058296567,1.5398321162780677,4.1242954875745829e-15,6.1002941533526009e-15,2.7937679303085241e-14,4.6585201536177681e-14,3.8934722117483954e-13
4,8,8.6099999999999994,4.3049999999999997,2.0568886706491383,1.4246004554811977,1.5511737439973898,2.0568886706491414,1.4246004554811986,1.5511737439973916,3.6888820278049627e-15,5.7471637473831853e-15,2.6855423502197406e-14,5.4245757155578664e-14,3.707722062664588e-13
4,8,8.6099999999999994,4.3254999999999999,2.0613629308232264,1.4263701994816749,1.5626099013595853,2.0613629308232304,1.426370199481676,1.5626099013595878,4.8138123240179632e-15,5.4225935318739318e-15,2.5882070540987151e-14,6.0133541916370405e-14,3.5217254347798426e-13
4,8,8.6099999999999994,4.3460000000000001,2.0659441133681855,1.428395658317027,1.5741447417694365,2.0659441133681904,1.4283956583170287,1.5741447417694392,5.8410815908364745e-15,5.6134922622273377e-15,2.4222731483740504e-14,6.6257831995201516e-14,3.3497870171438898e-13
4,8,8.6099999999999994,4.3664999999999994,2.070637388816567,1.430685999486313,1.5857821314376603,2.0706373888165719,1.4306859994863146,1.5857821314376626,5.5865292949027199e-15,5.0883623888599209e-15,2.3699101124346116e-14,7.4213239877554945e-14,3.1213975127771796e-13
4,8,8.6099999999999994,4.3869999999999996,2.0754474244163248,1.4332497171968248,1.5975256382359089,2.0754474244163292,1.4332497171968257,1.5975256382359113,5.1454974620030868e-15,5.1745356149926019e-15,2.2241136950885891e-14,7.8918312117978308e-14,2.8900382720340677e-13
4,8,8.6099999999999994,4.4074999999999998,2.0803783811653633,1.4360946134535713,1.6093785213005687,2.0803783811653669,1.4360946134535721,1.6093785213005707,4.1718393690839263e-15,4.8480180145420329e-15,2.0430894104630441e-14,8.4981335913010737e-14,2.6833656426065432e-13
4,8,8.6099999999999994,4.427999999999999,2.0854339120748073,1.4392277805593094,1.621343721386342,2.0854339120748113,1.4392277805593103,1.6213437213863442,4.6576469266763689e-15,4.8401458494064346e-15,1.8845524871880073e-14,8.9467737644093614e-14,2.4783122412249704e-13
4,8,8.6099999999999994,4.4485000000000001,2.0906171616286429,1.4426555850412981,1.6334238519706041,2.0906171616286473,1.442655585041299,1.6334238519706066,5.1454974620030868e-15,4.8480180145420329e-15,1.733983909792456e-14,9.4346243768166784e-14,2.2233629097338644e-13
